,Band Combinatios,Sum Std.,Sum Corr,OIF
0,123,0.05354297915384497,2.8703440952951667,0.018653853815508825
1,124,0.06354298726145967,1.0801951645242365,0.058825469089603524
2,125,0.07396223505895219,2.249787345650577,0.03287521160697272
3,126,0.06756322845525978,2.5890460824089763,0.02609579988332831
4,134,0.07091083660429257,0.9772721475963413,0.0725599688671185
5,135,0.08133008440178507,2.3556789031768925,0.034525114731087714
6,136,0.07493107779809266,2.695090121182978,0.02780280971279823
7,145,0.09133009250939979,0.9775734862994587,0.09342529619448248
8,146,0.08493108590570737,0.9426677683319296,0.09009652049098349
9,156,0.0953503337031999,2.5030834129549824,0.038093150715515035
10,234,0.07350509497694258,1.1056564343363127,0.06648095438531514
11,235,0.0839243427744351,2.24907390869594,0.03731506663695911
12,236,0.07752533617074268,2.594255598827236,0.0298834610613499
13,245,0.0939243508820498,1.000735645777967,0.09385530662199353
14,246,0.08752534427835738,0.9716003999356486,0.09008368490189422
15,256,0.0979445920758499,2.297026763337777,0.042639726118614316
16,345,0.1012922002248827,0.9736110851985118,0.10403764066041832
17,346,0.09489319362119028,0.9446283206038796,0.10045558824716075
18,356,0.1053124414186828,2.478869258460219,0.04248406448192389
19,456,0.1153124495262975,1.268257573462128,0.0909219483007021
